id,FIPS_State,FIPS_County,County,count,key_count,key_pct,total_pct
02000,02,000,NOT_MATCHED,79943,2817,3.52,13.76
02013,02,013,Aleutians East,1286,51,3.97,0.22
02016,02,016,Aleutians West,1847,72,3.90,0.32
02020,02,020,Anchorage,222976,7703,3.45,38.37
02050,02,050,Bethel,9586,281,2.93,1.65
02060,02,060,Bristol Bay,685,18,2.63,0.12
02068,02,068,Denali,1574,66,4.19,0.27
02070,02,070,Dillingham,2730,113,4.14,0.47
02090,02,090,Fairbanks North Star,66795,2742,4.11,11.49
02100,02,100,Haines,1775,75,4.23,0.31
02110,02,110,Juneau,24513,900,3.67,4.22
02122,02,122,Kenai Peninsula,41058,1312,3.20,7.06
02130,02,130,Ketchikan Gateway,10399,370,3.56,1.79
02150,02,150,Kodiak Island,8331,334,4.01,1.43
02164,02,164,Lake and Peninsula,936,27,2.88,0.16
02170,02,170,Matanuska-Susitna,74326,1993,2.68,12.79
02180,02,180,Nome,5420,180,3.32,0.93
02185,02,185,North Slope,3970,159,4.01,0.68
02188,02,188,Northwest Arctic,3968,152,3.83,0.68
02220,02,220,Sitka,6569,221,3.36,1.13
02240,02,240,Southeast Fairbanks,4053,141,3.48,0.70
02261,02,261,Valdez-Cordova,773,31,4.01,0.13
02270,02,270,Wade Hampton,2928,78,2.66,0.50
02280,02,280,Wrangell-Petersburg,1530,38,2.48,0.26
02282,02,282,Yakutat,356,8,2.25,0.06
02290,02,290,Yukon-Koyukuk,2859,117,4.09,0.49
05000,05,000,NOT_MATCHED,259,7,2.70,0.01
05001,05,001,Arkansas,10564,1600,15.15,0.60
05003,05,003,Ashley,10341,304,2.94,0.58
05005,05,005,Baxter,30204,932,3.09,1.70
05007,05,007,Benton,159386,2289,1.44,8.99
05009,05,009,Boone,26476,1380,5.21,1.49
05011,05,011,Bradley,5404,219,4.05,0.30
05013,05,013,Calhoun,2827,367,12.98,0.16
05015,05,015,Carroll,16556,2294,13.86,0.93
05017,05,017,Chicot,6333,176,2.78,0.36
05019,05,019,Clark,11521,410,3.56,0.65
05021,05,021,Clay,6771,536,7.92,0.38
05023,05,023,Cleburne,17783,425,2.39,1.00
