id,FIPS_State,FIPS_County,County,count
02013,02,013,Aleutians East,51
02016,02,016,Aleutians West,72
02020,02,020,Anchorage,7703
02050,02,050,Bethel,281
02060,02,060,Bristol Bay,18
02068,02,068,Denali,66
02070,02,070,Dillingham,113
02090,02,090,Fairbanks North Star,2742
02100,02,100,Haines,75
02110,02,110,Juneau,899
02122,02,122,Kenai Peninsula,1311
02130,02,130,Ketchikan Gateway,370
02150,02,150,Kodiak Island,334
02164,02,164,Lake and Peninsula,27
02170,02,170,Matanuska-Susitna,1993
02180,02,180,Nome,180
02185,02,185,North Slope,158
02188,02,188,Northwest Arctic,152
02220,02,220,Sitka,221
02240,02,240,Southeast Fairbanks,141
02261,02,261,Valdez-Cordova,31
02270,02,270,Wade Hampton,78
02280,02,280,Wrangell-Petersburg,38
02282,02,282,Yakutat,8
02290,02,290,Yukon-Koyukuk,117

05000,05,000,NOT_MATCHED,7
05001,05,001,Arkansas,1600
05003,05,003,Ashley,304
05005,05,005,Baxter,932
05007,05,007,Benton,2289
05009,05,009,Boone,1380
05011,05,011,Bradley,219
05013,05,013,Calhoun,367
05015,05,015,Carroll,2294
05017,05,017,Chicot,176
05019,05,019,Clark,410
05021,05,021,Clay,536
05023,05,023,Cleburne,425
05025,05,025,Cleveland,153
05027,05,027,Columbia,1383
05029,05,029,Conway,140
05031,05,031,Craighead,877
05033,05,033,Crawford,2136
05035,05,035,Crittenden,768
05037,05,037,Cross,935
05039,05,039,Dallas,627
05041,05,041,Desha,144
05043,05,043,Drew,977
05045,05,045,Faulkner,1158
05047,05,047,Franklin,308
05049,05,049,Fulton,402
05051,05,051,Garland,4946
05053,05,053,Grant,1181
05055,05,055,Greene,616
05057,05,057,Hempstead,138
05059,05,059,Hot Spring,1195
05061,05,061,Howard,162
05063,05,063,Independence,1700
05065,05,065,Izard,176
05067,05,067,Jackson,222
05069,05,069,Jefferson,774
05071,05,071,Johnson,479
05073,05,073,Lafayette,611
05075,05,075,Lawrence,129
05077,05,077,Lee,87
05079,05,079,Lincoln,158
05081,05,081,Little River,170
05083,05,083,Logan,108
05085,05,085,Lonoke,852
05087,05,087,Madison,198
05089,05,089,Marion,312
05091,05,091,Miller,487
05093,05,093,Mississippi,2013
05095,05,095,Monroe,466
05097,05,097,Montgomery,373
05099,05,099,Nevada,163
05101,05,101,Newton,607
05103,05,103,Ouachita,1501
05105,05,105,Perry,384
05107,05,107,Phillips,113
05109,05,109,Pike,262
05111,05,111,Poinsett,1079
05113,05,113,Polk,370
05115,05,115,Pope,746
05117,05,117,Prairie,109
05119,05,119,Pulaski,29875
05121,05,121,Randolph,229
05123,05,123,St Francis,1751
