id,FIPS_State,FIPS_County,County,count
02000,02,000,NOT_MATCHED,79975
02013,02,013,Aleutians East,1286
02016,02,016,Aleutians West,1847
02020,02,020,Anchorage,222967
02050,02,050,Bethel,9583
02060,02,060,Bristol Bay,685
02068,02,068,Denali,1574
02070,02,070,Dillingham,2729
02090,02,090,Fairbanks North Star,66793
02100,02,100,Haines,1773
02110,02,110,Juneau,24511
02122,02,122,Kenai Peninsula,41056
02130,02,130,Ketchikan Gateway,10399
02150,02,150,Kodiak Island,8330
02164,02,164,Lake and Peninsula,936
02170,02,170,Matanuska-Susitna,74324
02180,02,180,Nome,5420
02185,02,185,North Slope,3969
02188,02,188,Northwest Arctic,3965
02220,02,220,Sitka,6567
02240,02,240,Southeast Fairbanks,4053
02261,02,261,Valdez-Cordova,773
02270,02,270,Wade Hampton,2928
02280,02,280,Wrangell-Petersburg,1530
02282,02,282,Yakutat,356
02290,02,290,Yukon-Koyukuk,2858

05000,05,000,NOT_MATCHED,259
05001,05,001,Arkansas,10564
05003,05,003,Ashley,10341
05005,05,005,Baxter,30204
05007,05,007,Benton,159386
05009,05,009,Boone,26476
05011,05,011,Bradley,5404
05013,05,013,Calhoun,2827
05015,05,015,Carroll,16556
05017,05,017,Chicot,6333
05019,05,019,Clark,11521
05021,05,021,Clay,6771
05023,05,023,Cleburne,17783
05025,05,025,Cleveland,4420
05027,05,027,Columbia,12492
05029,05,029,Conway,9901
05031,05,031,Craighead,55255
05033,05,033,Crawford,34044
05035,05,035,Crittenden,32797
05037,05,037,Cross,11365
05039,05,039,Dallas,4478
05041,05,041,Desha,7522
05043,05,043,Drew,11355
05045,05,045,Faulkner,72780
05047,05,047,Franklin,12688
05049,05,049,Fulton,6041
05051,05,051,Garland,57601
05053,05,053,Grant,10391
05055,05,055,Greene,22377
05057,05,057,Hempstead,7078
05059,05,059,Hot Spring,18119
05061,05,061,Howard,7773
05063,05,063,Independence,20930
05065,05,065,Izard,7398
05067,05,067,Jackson,6840
05069,05,069,Jefferson,36739
05071,05,071,Johnson,11650
05073,05,073,Lafayette,5374
05075,05,075,Lawrence,6909
05077,05,077,Lee,3547
05079,05,079,Lincoln,4644
05081,05,081,Little River,6952
05083,05,083,Logan,7470
05085,05,085,Lonoke,45798
05087,05,087,Madison,9466
05089,05,089,Marion,10219
05091,05,091,Miller,25384
05093,05,093,Mississippi,21355
05095,05,095,Monroe,5558
05097,05,097,Montgomery,6513
05099,05,099,Nevada,5633
05101,05,101,Newton,5106
05103,05,103,Ouachita,16582
05105,05,105,Perry,6850
05107,05,107,Phillips,9683
05109,05,109,Pike,5125
05111,05,111,Poinsett,11917
05113,05,113,Polk,12265
05115,05,115,Pope,35889
05117,05,117,Prairie,3999
05119,05,119,Pulaski,267466
05121,05,121,Randolph,10508
05123,05,123,St Francis,9623
05125,05,125,Saline,78639
05127,05,127,Scott,4077
05129,05,129,Searcy,4801
05131,05,131,Sebastian,72620
05133,05,133,Sevier,6880
05135,05,135,Sharp,13837
05137,05,137,Stone,8374
05139,05,139,Union,28093
05141,05,141,Van Buren,11755
05143,05,143,Washington,139669
05145,05,145,White,44737
05147,05,147,Woodruff,4143
05149,05,149,Yell,9862

04001,04,001,Apache,5852
04003,04,003,Cochise,9828
04005,04,005,Coconino,10725
04007,04,007,Gila,3837
04009,04,009,Graham,2814
04011,04,011,Greenlee,616
04012,04,012,La Paz,1819
04013,04,013,Maricopa,332998
04015,04,015,Mohave,20343
04017,04,017,Navajo,8234
04019,04,019,Pima,75556
04021,04,021,Pinal,21536
04023,04,023,Santa Cruz,3071
04025,04,025,Yavapai,18458
04027,04,027,Yuma,11800

06000,06,000,NOT_MATCHED,883
06001,06,001,Alameda,950880
06003,06,003,Alpine,857
06005,06,005,Amador,26171
06007,06,007,Butte,125565
06009,06,009,Calaveras,32318
06011,06,011,Colusa,9769
06013,06,013,Contra Costa,701153
06015,06,015,Del Norte,14803
06017,06,017,El Dorado,137874
