id,FIPS_State,FIPS_County,County,Prev,Dropped,count
2013,2,13,Aleutians East,1286,51,3.97
2016,2,16,Aleutians West,1847,72,3.90
2020,2,20,Anchorage,222967,7703,3.45
2050,2,50,Bethel,9583,281,2.93
2060,2,60,Bristol Bay,685,18,2.63
2068,2,68,Denali,1574,66,4.19
2070,2,70,Dillingham,2729,113,4.14
2090,2,90,Fairbanks North Star,66793,2742,4.11
2100,2,100,Haines,1773,75,4.23
2110,2,110,Juneau,24511,899,3.67
2122,2,122,Kenai Peninsula,41056,1311,3.19
2130,2,130,Ketchikan Gateway,10399,370,3.56
2150,2,150,Kodiak Island,8330,334,4.01
2164,2,164,Lake and Peninsula,936,27,2.88
2170,2,170,Matanuska-Susitna,74324,1993,2.68
2180,2,180,Nome,5420,180,3.32
2185,2,185,North Slope,3969,158,3.98
2188,2,188,Northwest Arctic,3965,152,3.83
2220,2,220,Sitka,6567,221,3.37
2240,2,240,Southeast Fairbanks,4053,141,3.48
2261,2,261,Valdez-Cordova,773,31,4.01
2270,2,270,Wade Hampton,2928,78,2.66
2280,2,280,Wrangell-Petersburg,1530,38,2.48
2282,2,282,Yakutat,356,8,2.25
2290,2,290,Yukon-Koyukuk,2858,117,4.09
5000,5,0,NOT_MATCHED,259,,0.00
5001,5,1,Arkansas,10564,7,0.07
5003,5,3,Ashley,10341,1600,15.47
5005,5,5,Baxter,30204,304,1.01
5007,5,7,Benton,159386,932,0.58
5009,5,9,Boone,26476,2289,8.65
5011,5,11,Bradley,5404,1380,25.54
5013,5,13,Calhoun,2827,219,7.75
5015,5,15,Carroll,16556,367,2.22
5017,5,17,Chicot,6333,2294,36.22
5019,5,19,Clark,11521,176,1.53
5021,5,21,Clay,6771,410,6.06
5023,5,23,Cleburne,17783,536,3.01
5025,5,25,Cleveland,4420,425,9.62
5027,5,27,Columbia,12492,153,1.22
5029,5,29,Conway,9901,1383,13.97
5031,5,31,Craighead,55255,140,0.25
5033,5,33,Crawford,34044,877,2.58
5035,5,35,Crittenden,32797,2136,6.51
5037,5,37,Cross,11365,768,6.76
5039,5,39,Dallas,4478,935,20.88
5041,5,41,Desha,7522,627,8.34
5043,5,43,Drew,11355,144,1.27
5045,5,45,Faulkner,72780,977,1.34
5047,5,47,Franklin,12688,1158,9.13
5049,5,49,Fulton,6041,308,5.10
5051,5,51,Garland,57601,402,0.70
5053,5,53,Grant,10391,4946,47.60
5055,5,55,Greene,22377,1181,5.28
5057,5,57,Hempstead,7078,616,8.70
5059,5,59,Hot Spring,18119,138,0.76
5061,5,61,Howard,7773,1195,15.37
5063,5,63,Independence,20930,162,0.77
5065,5,65,Izard,7398,1700,22.98
5067,5,67,Jackson,6840,176,2.57
5069,5,69,Jefferson,36739,222,0.60
5071,5,71,Johnson,11650,774,6.64
5073,5,73,Lafayette,5374,479,8.91
5075,5,75,Lawrence,6909,611,8.84
5077,5,77,Lee,3547,129,3.64
5079,5,79,Lincoln,4644,87,1.87
5081,5,81,Little River,6952,158,2.27
5083,5,83,Logan,7470,170,2.28
5085,5,85,Lonoke,45798,108,0.24
5087,5,87,Madison,9466,852,9.00
5089,5,89,Marion,10219,198,1.94
5091,5,91,Miller,25384,312,1.23
5093,5,93,Mississippi,21355,487,2.28
5095,5,95,Monroe,5558,2013,36.22
5097,5,97,Montgomery,6513,466,7.15
5099,5,99,Nevada,5633,373,6.62
5101,5,101,Newton,5106,163,3.19
5103,5,103,Ouachita,16582,607,3.66
5105,5,105,Perry,6850,1501,21.91
5107,5,107,Phillips,9683,384,3.97
5109,5,109,Pike,5125,113,2.20
5111,5,111,Poinsett,11917,262,2.20
5113,5,113,Polk,12265,1079,8.80
5115,5,115,Pope,35889,370,1.03
5117,5,117,Prairie,3999,746,18.65
